word,source_grade_hint,normalized_band,source_list,rank,count,academic,pos,notes,preferred_band,beginner_score,intermediate_score,advanced_score,source_tags,source_files
ablaze,12,9-12,advanced_9_to_12,9003,162,false,n,tier3_bnc_coca+bnc_coca_band_10k+grade_estimate_12+general_or_nonacademic,advanced,2.141,8.288,28.565,advanced_seed,advanced_9_to_12.csv
able,2,k-5th grade,beginner_k_to_5,488,,false,adj,tier2_fry_filtered+fry_rank_488+grade2_week18_item13,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
abnormal,9,9-12,advanced_9_to_12,3001,1681,false,adj,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic,advanced,1.937,11.083,30.96,advanced_seed,advanced_9_to_12.csv
aboard,9,9-12,advanced_9_to_12,3002,948,false,prep,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic,advanced,2.589,10.885,30.087,advanced_seed,advanced_9_to_12.csv
abode,12,9-12,advanced_9_to_12,9004,177,false,n,tier3_bnc_coca+bnc_coca_band_10k+grade_estimate_12+general_or_nonacademic,advanced,2.163,8.317,28.59,advanced_seed,advanced_9_to_12.csv
abolish,9,9-12,advanced_9_to_12,4003,1877,false,v,tier3_bnc_coca+bnc_coca_band_5k+grade_estimate_9+general_or_nonacademic,advanced,1.965,10.621,30.293,advanced_seed,advanced_9_to_12.csv
abolition,10,9-12,advanced_9_to_12,5003,1400,false,n,tier3_bnc_coca+bnc_coca_band_6k+grade_estimate_10+general_or_nonacademic,advanced,1.89,11.519,32.304,advanced_seed,advanced_9_to_12.csv
aborigine,10,9-12,advanced_9_to_12,6004,405,false,n,tier3_bnc_coca+bnc_coca_band_7k+grade_estimate_10+general_or_nonacademic,advanced,1.571,8.594,29.533,advanced_seed,advanced_9_to_12.csv
abortion,8,6-8,intermediate_6_to_8,2542,24,false,n,tier1_ngsl_general+ngsl_rank_2542+grade_estimate_8,intermediate,3.919,30.225,11.172,intermediate_seed,intermediate_6_to_8.csv
abound,10,9-12,advanced_9_to_12,5004,480,false,v,tier3_bnc_coca+bnc_coca_band_6k+grade_estimate_10+general_or_nonacademic,advanced,2.414,10.652,29.883,advanced_seed,advanced_9_to_12.csv
about,1,k-5th grade,beginner_k_to_5,5,,false,n,tier1_dolch+dolch_grade3+fry_overlap+grade1_week14_item2,beginner,29.8,7.5,2.0,beginner_seed,beginner_k_to_5.csv
above,1,k-5th grade,beginner_k_to_5,286,,false,prep,tier2_fry_filtered+fry_rank_286+grade1_week31_item7,beginner,29.8,7.5,2.0,beginner_seed,beginner_k_to_5.csv
abrasive,11,9-12,advanced_9_to_12,8005,259,false,adj,tier3_bnc_coca+bnc_coca_band_9k+grade_estimate_11+general_or_nonacademic,advanced,1.458,8.944,30.801,advanced_seed,advanced_9_to_12.csv
abreast,12,9-12,advanced_9_to_12,9005,191,false,n,tier3_bnc_coca+bnc_coca_band_10k+grade_estimate_12+general_or_nonacademic,advanced,1.382,7.843,28.612,advanced_seed,advanced_9_to_12.csv
abroad,7,6-8,intermediate_6_to_8,1883,39,false,n,tier1_ngsl_general+ngsl_rank_1883+grade_estimate_7,intermediate,4.814,29.852,9.183,intermediate_seed,intermediate_6_to_8.csv
abrupt,9,9-12,advanced_9_to_12,3003,1672,false,adj,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic,advanced,2.735,11.081,30.258,advanced_seed,advanced_9_to_12.csv
absence,7,6-8,intermediate_6_to_8,1758,43,false,n,tier1_ngsl_general+ngsl_rank_1758+grade_estimate_7,intermediate,4.035,29.879,10.607,intermediate_seed,intermediate_6_to_8.csv
absent,5,k-5th grade,beginner_k_to_5,32,,false,adj,elementary_fill+grade5+grade5_week2_item12,beginner,29.8,7.5,2.0,beginner_seed,beginner_k_to_5.csv
absolute,4;6,6-8;k-5th grade,beginner_k_to_5;intermediate_6_to_8,19,27,false,n,elementary_fill+grade4+grade4_week1_item19 | tier1_ngsl_general+ngsl_rank_2398+bridge_from_beginner_grade_4+grade_estimate_6,intermediate,19.941,20.755,7.798,beginner_seed;intermediate_seed,beginner_k_to_5.csv;intermediate_6_to_8.csv
absolutely,6,6-8,intermediate_6_to_8,1078,84,false,adv,tier1_ngsl_general+ngsl_rank_1078+grade_estimate_6,intermediate,4.184,30.079,10.081,intermediate_seed,intermediate_6_to_8.csv
absolve,12,9-12,advanced_9_to_12,9006,151,false,n,tier3_bnc_coca+bnc_coca_band_10k+grade_estimate_12+general_or_nonacademic,advanced,1.324,7.765,28.545,advanced_seed,advanced_9_to_12.csv
absorb,7,6-8,intermediate_6_to_8,460,33,true,v,tier2_nawl_academic+nawl_rank_460+grade_estimate_7,intermediate,6.78,29.807,11.143,intermediate_seed,intermediate_6_to_8.csv
absorption,7,6-8,intermediate_6_to_8,437,35,true,n,tier2_nawl_academic+nawl_rank_437+grade_estimate_7,intermediate,5.992,30.323,13.257,intermediate_seed,intermediate_6_to_8.csv
abstain,11,9-12,advanced_9_to_12,7005,312,false,v,tier3_bnc_coca+bnc_coca_band_8k+grade_estimate_11+general_or_nonacademic,advanced,1.505,8.006,28.755,advanced_seed,advanced_9_to_12.csv
abstention,12,9-12,advanced_9_to_12,9007,324,false,n,tier3_bnc_coca+bnc_coca_band_10k+grade_estimate_12+general_or_nonacademic,advanced,1.514,9.019,30.867,advanced_seed,advanced_9_to_12.csv
abstinence,11,9-12,advanced_9_to_12,7006,153,false,n,tier3_bnc_coca+bnc_coca_band_8k+grade_estimate_11+general_or_nonacademic,advanced,1.327,8.77,30.649,advanced_seed,advanced_9_to_12.csv
abstract,8,6-8,intermediate_6_to_8,2721,21,false,n,tier1_ngsl_general+ngsl_rank_2721+grade_estimate_8,intermediate,3.895,29.693,9.744,intermediate_seed,intermediate_6_to_8.csv
absurd,9,9-12,advanced_9_to_12,3005,1419,false,adj,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic,advanced,2.693,11.024,30.209,advanced_seed,advanced_9_to_12.csv
abundant,9,9-12,advanced_9_to_12,3006,1465,false,adj,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic,advanced,1.901,11.035,30.918,advanced_seed,advanced_9_to_12.csv
abuse,4;6,6-8;k-5th grade,beginner_k_to_5;intermediate_6_to_8,451,52,false,n,elementary_fill+grade4+grade4_week23_item11 | tier1_ngsl_general+ngsl_rank_1553+bridge_from_beginner_grade_4+grade_estimate_6,intermediate,20.875,20.934,7.255,beginner_seed;intermediate_seed,beginner_k_to_5.csv;intermediate_6_to_8.csv
abyss,11,9-12,advanced_9_to_12,8006,175,false,n,tier3_bnc_coca+bnc_coca_band_9k+grade_estimate_11+general_or_nonacademic,advanced,2.16,8.314,28.587,advanced_seed,advanced_9_to_12.csv
academia,11,9-12,advanced_9_to_12,8007,103,false,n,tier3_bnc_coca+bnc_coca_band_9k+grade_estimate_11+general_or_nonacademic,advanced,1.232,8.142,29.137,advanced_seed,advanced_9_to_12.csv
academic,4;6,6-8;k-5th grade,beginner_k_to_5;intermediate_6_to_8,358,43,false,adj,elementary_fill+grade4+grade4_week18_item18 | tier1_ngsl_general+ngsl_rank_1751+bridge_from_beginner_grade_4+grade_estimate_6,intermediate,20.035,20.879,7.907,beginner_seed;intermediate_seed,beginner_k_to_5.csv;intermediate_6_to_8.csv
accede,11,9-12,advanced_9_to_12,8008,237,false,n,tier3_bnc_coca+bnc_coca_band_9k+grade_estimate_11+general_or_nonacademic,advanced,2.236,8.414,28.675,advanced_seed,advanced_9_to_12.csv
accelerate,7,6-8,intermediate_6_to_8,504,29,true,v,tier2_nawl_academic+nawl_rank_504+grade_estimate_7,intermediate,5.955,30.273,13.214,intermediate_seed,intermediate_6_to_8.csv
acceleration,7,6-8,intermediate_6_to_8,472,32,true,n,tier2_nawl_academic+nawl_rank_472+grade_estimate_7,intermediate,5.974,30.299,14.736,intermediate_seed,intermediate_6_to_8.csv
accent,7,6-8,intermediate_6_to_8,486,31,true,n,tier2_nawl_academic+nawl_rank_486+grade_estimate_7,intermediate,6.768,29.79,11.129,intermediate_seed,intermediate_6_to_8.csv
accentuate,10,9-12,advanced_9_to_12,6005,412,false,v,tier3_bnc_coca+bnc_coca_band_7k+grade_estimate_10+general_or_nonacademic,advanced,1.575,9.1,30.938,advanced_seed,advanced_9_to_12.csv
accept,6,6-8,intermediate_6_to_8,561,172,false,v,tier1_ngsl_general+ngsl_rank_561+grade_estimate_6,intermediate,9.156,29.308,7.582,intermediate_seed,intermediate_6_to_8.csv
acceptable,2;6,6-8;k-5th grade,beginner_k_to_5;intermediate_6_to_8,546,26,false,adj,elementary_fill+grade2+grade2_week35_item2 | tier1_ngsl_general+ngsl_rank_2428+buffer_from_beginner_grade_2+intermediate_buffer_addition+grade_estimate_6,intermediate,19.934,20.745,7.789,beginner_seed;intermediate_seed,beginner_k_to_5.csv;intermediate_6_to_8.csv
access,6,6-8,intermediate_6_to_8,802,119,false,n,tier1_ngsl_general+ngsl_rank_802+grade_estimate_6,intermediate,9.066,29.188,7.477,intermediate_seed,intermediate_6_to_8.csv
accession,11,9-12,advanced_9_to_12,7007,574,false,n,tier3_bnc_coca+bnc_coca_band_8k+grade_estimate_11+general_or_nonacademic,advanced,1.66,9.213,31.036,advanced_seed,advanced_9_to_12.csv
accessory,9,9-12,advanced_9_to_12,4004,772,false,n,tier3_bnc_coca+bnc_coca_band_5k+grade_estimate_9+general_or_nonacademic,advanced,1.736,10.815,30.725,advanced_seed,advanced_9_to_12.csv
accident,7,6-8,intermediate_6_to_8,1349,64,false,adj,tier1_ngsl_general+ngsl_rank_1349+grade_estimate_7,intermediate,4.122,29.995,10.008,intermediate_seed,intermediate_6_to_8.csv
acclaim,10,9-12,advanced_9_to_12,5005,644,false,v,tier3_bnc_coca+bnc_coca_band_6k+grade_estimate_10+general_or_nonacademic,advanced,1.689,10.252,29.971,advanced_seed,advanced_9_to_12.csv
accolade,11,9-12,advanced_9_to_12,8009,197,false,n,tier3_bnc_coca+bnc_coca_band_9k+grade_estimate_11+general_or_nonacademic,advanced,1.39,8.353,29.321,advanced_seed,advanced_9_to_12.csv
accommodation,7,6-8,intermediate_6_to_8,1903,38,false,n,tier1_ngsl_general+ngsl_rank_1903+grade_estimate_7,intermediate,4.009,30.345,12.777,intermediate_seed,intermediate_6_to_8.csv
accompany,5;6,6-8;k-5th grade,beginner_k_to_5;intermediate_6_to_8,418,41,false,n,elementary_fill+grade5+grade5_week21_item18 | tier1_ngsl_general+ngsl_rank_1811+bridge_from_beginner_grade_5+grade_estimate_6,intermediate,20.025,20.866,7.895,beginner_seed;intermediate_seed,beginner_k_to_5.csv;intermediate_6_to_8.csv
accomplice,11,9-12,advanced_9_to_12,7008,264,false,n,tier3_bnc_coca+bnc_coca_band_8k+grade_estimate_11+general_or_nonacademic,advanced,1.463,8.45,29.406,advanced_seed,advanced_9_to_12.csv
accomplish,8,6-8,intermediate_6_to_8,2456,26,false,adj,tier1_ngsl_general+ngsl_rank_2456+grade_estimate_8,intermediate,3.934,29.745,9.789,intermediate_seed,intermediate_6_to_8.csv
accord,6,6-8,intermediate_6_to_8,522,188,false,n,tier1_ngsl_general+ngsl_rank_522+grade_estimate_6,intermediate,9.178,29.337,7.608,intermediate_seed,intermediate_6_to_8.csv
accordion,12,9-12,advanced_9_to_12,9008,110,false,n,tier3_bnc_coca+bnc_coca_band_10k+grade_estimate_12+general_or_nonacademic,advanced,1.248,8.163,29.155,advanced_seed,advanced_9_to_12.csv
account,3;6,6-8;k-5th grade,beginner_k_to_5;intermediate_6_to_8,205,231,false,n,elementary_fill+grade3+grade3_week13_item13 | tier1_ngsl_general+ngsl_rank_436+buffer_from_beginner_grade_3+intermediate_buffer_addition+grade_estimate_6,intermediate,20.429,20.906,7.667,beginner_seed;intermediate_seed,beginner_k_to_5.csv;intermediate_6_to_8.csv
accountant,9,9-12,advanced_9_to_12,3007,3013,false,n,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic,advanced,2.088,11.284,31.136,advanced_seed,advanced_9_to_12.csv
accredit,10,9-12,advanced_9_to_12,5007,552,false,v,tier3_bnc_coca+bnc_coca_band_6k+grade_estimate_10+general_or_nonacademic,advanced,1.65,10.7,30.625,advanced_seed,advanced_9_to_12.csv
accretion,11,9-12,advanced_9_to_12,8010,204,false,n,tier3_bnc_coca+bnc_coca_band_9k+grade_estimate_11+general_or_nonacademic,advanced,1.398,8.864,30.731,advanced_seed,advanced_9_to_12.csv
accrue,10,9-12,advanced_9_to_12,5008,798,false,n,tier3_bnc_coca+bnc_coca_band_6k+grade_estimate_10+general_or_nonacademic,advanced,2.544,10.826,30.035,advanced_seed,advanced_9_to_12.csv
accumulate,7,6-8,intermediate_6_to_8,429,36,true,v,tier2_nawl_academic+nawl_rank_429+grade_estimate_7,intermediate,5.998,30.33,13.264,intermediate_seed,intermediate_6_to_8.csv
accumulation,7,6-8,intermediate_6_to_8,391,40,true,n,tier2_nawl_academic+nawl_rank_391+grade_estimate_7,intermediate,6.019,30.359,14.789,intermediate_seed,intermediate_6_to_8.csv
accuracy,6,6-8,intermediate_6_to_8,137,68,true,n,tier2_nawl_academic+nawl_rank_137+grade_estimate_6,intermediate,6.135,30.014,12.024,intermediate_seed,intermediate_6_to_8.csv
accurate,8,6-8,intermediate_6_to_8,2283,30,false,v,tier1_ngsl_general+ngsl_rank_2283+grade_estimate_8,intermediate,3.961,30.282,11.221,intermediate_seed,intermediate_6_to_8.csv
accurately,7,6-8,intermediate_6_to_8,508,29,true,adv,tier2_nawl_academic+nawl_rank_508+grade_estimate_7,intermediate,5.955,29.773,11.814,intermediate_seed,intermediate_6_to_8.csv
accuse,7,6-8,intermediate_6_to_8,1755,43,false,n,tier1_ngsl_general+ngsl_rank_1755+grade_estimate_7,intermediate,4.835,29.879,9.207,intermediate_seed,intermediate_6_to_8.csv
accustom,9,9-12,advanced_9_to_12,3008,1102,false,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic,advanced,1.828,10.937,30.832,advanced_seed,advanced_9_to_12.csv
achieve,4;6,6-8;k-5th grade,beginner_k_to_5;intermediate_6_to_8,583,126,false,v,elementary_fill+grade4+grade4_week30_item3 | tier1_ngsl_general+ngsl_rank_746+bridge_from_beginner_grade_4+grade_estimate_6,intermediate,20.28,20.707,7.493,beginner_seed;intermediate_seed,beginner_k_to_5.csv;intermediate_6_to_8.csv
achievement,7,6-8,intermediate_6_to_8,2001,36,false,n,tier1_ngsl_general+ngsl_rank_2001+grade_estimate_7,intermediate,3.998,30.33,12.764,intermediate_seed,intermediate_6_to_8.csv
acid,6,6-8,intermediate_6_to_8,21,149,true,n,tier2_nawl_academic+nawl_rank_21+grade_estimate_6,intermediate,8.121,29.761,11.541,intermediate_seed,intermediate_6_to_8.csv
acidic,8,6-8,intermediate_6_to_8,861,6,true,adj,tier2_nawl_academic+nawl_rank_861+grade_estimate_8,intermediate,6.522,29.463,10.843,intermediate_seed,intermediate_6_to_8.csv
acknowledge,7,6-8,intermediate_6_to_8,1747,44,false,n,tier1_ngsl_general+ngsl_rank_1747+grade_estimate_7,intermediate,4.039,29.886,11.413,intermediate_seed,intermediate_6_to_8.csv
acne,11,9-12,advanced_9_to_12,8011,137,false,n,tier3_bnc_coca+bnc_coca_band_9k+grade_estimate_11+general_or_nonacademic,advanced,3.1,7.734,28.517,advanced_seed,advanced_9_to_12.csv
acorn,10,9-12,advanced_9_to_12,6006,303,false,n,tier3_bnc_coca+bnc_coca_band_7k+grade_estimate_10+general_or_nonacademic,advanced,2.297,8.496,28.747,advanced_seed,advanced_9_to_12.csv
acoustic,11,9-12,advanced_9_to_12,7009,952,false,adj,tier3_bnc_coca+bnc_coca_band_8k+grade_estimate_11+general_or_nonacademic,advanced,1.79,8.887,29.788,advanced_seed,advanced_9_to_12.csv
acquaint,9,9-12,advanced_9_to_12,3010,1314,false,v,tier3_bnc_coca+bnc_coca_band_4k+grade_estimate_9+general_or_nonacademic,advanced,1.873,10.998,30.885,advanced_seed,advanced_9_to_12.csv
acquiesce,10,9-12,advanced_9_to_12,6007,368,false,n,tier3_bnc_coca+bnc_coca_band_7k+grade_estimate_10+general_or_nonacademic,advanced,1.546,8.562,29.504,advanced_seed,advanced_9_to_12.csv
acquire,7,6-8,intermediate_6_to_8,1464,57,false,n,tier1_ngsl_general+ngsl_rank_1464+grade_estimate_7,intermediate,4.096,29.461,9.278,intermediate_seed,intermediate_6_to_8.csv
acquisition,7,6-8,intermediate_6_to_8,2010,36,false,n,tier1_ngsl_general+ngsl_rank_2010+grade_estimate_7,intermediate,3.998,30.33,12.764,intermediate_seed,intermediate_6_to_8.csv
acquit,10,9-12,advanced_9_to_12,5009,580,false,n,tier3_bnc_coca+bnc_coca_band_6k+grade_estimate_10+general_or_nonacademic,advanced,2.463,10.717,29.94,advanced_seed,advanced_9_to_12.csv
acrimony,11,9-12,advanced_9_to_12,8012,220,false,n,tier3_bnc_coca+bnc_coca_band_9k+grade_estimate_11+general_or_nonacademic,advanced,1.417,8.389,29.353,advanced_seed,advanced_9_to_12.csv
acrobat,11,9-12,advanced_9_to_12,8013,168,false,n,tier3_bnc_coca+bnc_coca_band_9k+grade_estimate_11+general_or_nonacademic,advanced,1.35,7.8,28.575,advanced_seed,advanced_9_to_12.csv
acronym,11,9-12,advanced_9_to_12,8014,132,false,n,tier3_bnc_coca+bnc_coca_band_9k+grade_estimate_11+general_or_nonacademic,advanced,1.291,7.722,28.507,advanced_seed,advanced_9_to_12.csv
across,4,k-5th grade,beginner_k_to_5,333,,false,prep,tier2_fry_filtered+fry_rank_333+grade4_week4_item3,beginner,29.8,7.5,2.0,beginner_seed,beginner_k_to_5.csv
acrylic,4,k-5th grade,beginner_k_to_5,480,,false,adj,elementary_fill+grade4+grade4_week24_item20,beginner,29.0,7.0,2.0,beginner_seed,beginner_k_to_5.csv
act,2,k-5th grade,beginner_k_to_5,668,,false,n,tier2_fry_filtered+fry_rank_668+grade2_week32_item12,beginner,30.8,7.0,2.0,beginner_seed,beginner_k_to_5.csv
action,3;6,6-8;k-5th grade,beginner_k_to_5;intermediate_6_to_8,474,210,false,n,tier2_fry_filtered+fry_rank_904+grade3_week28_item5 | tier1_ngsl_general+ngsl_rank_474+buffer_from_beginner_grade_3+intermediate_buffer_addition+grade_estimate_6,intermediate,21.205,21.874,9.04,beginner_seed;intermediate_seed,beginner_k_to_5.csv;intermediate_6_to_8.csv
activate,6,6-8,intermediate_6_to_8,125,70,true,v,tier2_nawl_academic+nawl_rank_125+grade_estimate_6,intermediate,6.142,30.522,13.432,intermediate_seed,intermediate_6_to_8.csv
active,5;6,6-8;k-5th grade,beginner_k_to_5;intermediate_6_to_8,89,63,false,adj,elementary_fill+grade5+grade5_week5_item9 | tier1_ngsl_general+ngsl_rank_1354+bridge_from_beginner_grade_5+grade_estimate_6,intermediate,20.918,21.491,8.704,beginner_seed;intermediate_seed,beginner_k_to_5.csv;intermediate_6_to_8.csv
actively,7,6-8,intermediate_6_to_8,582,25,true,adv,tier2_nawl_academic+nawl_rank_582+grade_estimate_7,intermediate,5.926,29.735,11.781,intermediate_seed,intermediate_6_to_8.csv
activity,6,6-8,intermediate_6_to_8,432,234,false,n,tier1_ngsl_general+ngsl_rank_432+grade_estimate_6,intermediate,8.432,29.91,9.771,intermediate_seed,intermediate_6_to_8.csv
actor,4;6,6-8;k-5th grade,beginner_k_to_5;intermediate_6_to_8,456,63,false,n,elementary_fill+grade4+grade4_week23_item16 | tier1_ngsl_general+ngsl_rank_1369+bridge_from_beginner_grade_4+grade_estimate_6,intermediate,20.918,20.991,7.304,beginner_seed;intermediate_seed,beginner_k_to_5.csv;intermediate_6_to_8.csv
actress,4,k-5th grade,beginner_k_to_5,601,,false,n,elementary_fill+grade4+grade4_week31_item1,beginner,29.0,7.0,2.0,beginner_seed,beginner_k_to_5.csv
actual,7,6-8,intermediate_6_to_8,1335,64,false,adj,tier1_ngsl_general+ngsl_rank_1335+grade_estimate_7,intermediate,4.922,29.995,9.308,intermediate_seed,intermediate_6_to_8.csv
actually,3;6,6-8;k-5th grade,beginner_k_to_5;intermediate_6_to_8,291,337,false,adv,tier2_fry_filtered+fry_rank_942+grade3_week30_item3 | tier1_ngsl_general+ngsl_rank_291+buffer_from_beginner_grade_3+intermediate_buffer_addition+grade_estimate_6,intermediate,20.524,21.532,8.478,beginner_seed;intermediate_seed,beginner_k_to_5.csv;intermediate_6_to_8.csv
actuary,12,9-12,advanced_9_to_12,9009,516,false,n,tier3_bnc_coca+bnc_coca_band_10k+grade_estimate_12+general_or_nonacademic,advanced,1.633,8.177,28.905,advanced_seed,advanced_9_to_12.csv
acupuncture,11,9-12,advanced_9_to_12,8015,219,false,n,tier3_bnc_coca+bnc_coca_band_9k+grade_estimate_11+general_or_nonacademic,advanced,1.416,8.388,30.852,advanced_seed,advanced_9_to_12.csv
acute,4;6,6-8;k-5th grade,beginner_k_to_5;intermediate_6_to_8,202,59,true,n,elementary_fill+grade4+grade4_week27_item18 | tier2_nawl_academic+nawl_rank_202+bridge_from_beginner_grade_4+grade_estimate_6,intermediate,18.903,21.971,11.287,beginner_seed;intermediate_seed,beginner_k_to_5.csv;intermediate_6_to_8.csv
ad,7,6-8,intermediate_6_to_8,1478,56,false,n,tier1_ngsl_general+ngsl_rank_1478+grade_estimate_7,intermediate,5.892,29.456,9.274,intermediate_seed,intermediate_6_to_8.csv
adage,4,k-5th grade,beginner_k_to_5,325,,false,n,elementary_fill+grade4+grade4_week17_item5,beginner,29.8,7.5,2.0,beginner_seed,beginner_k_to_5.csv
adamant,10,9-12,advanced_9_to_12,6009,439,false,adj,tier3_bnc_coca+bnc_coca_band_7k+grade_estimate_10+general_or_nonacademic,advanced,1.591,8.122,28.857,advanced_seed,advanced_9_to_12.csv
adapt,3;6,6-8;k-5th grade,beginner_k_to_5;intermediate_6_to_8,173,28,false,n,elementary_fill+grade3+grade3_week11_item13 | tier1_ngsl_general+ngsl_rank_2372+bridge_from_beginner_grade_3+grade_estimate_6,intermediate,20.748,20.764,7.106,beginner_seed;intermediate_seed,beginner_k_to_5.csv;intermediate_6_to_8.csv
adaptation,6,6-8,intermediate_6_to_8,138,68,true,n,tier2_nawl_academic+nawl_rank_138+grade_estimate_6,intermediate,6.135,30.514,13.424,intermediate_seed,intermediate_6_to_8.csv
adaptive,7,6-8,intermediate_6_to_8,351,44,true,adj,tier2_nawl_academic+nawl_rank_351+grade_estimate_7,intermediate,6.039,30.386,13.313,intermediate_seed,intermediate_6_to_8.csv
add,2,k-5th grade,beginner_k_to_5,203,,true,n,tier2_fry_filtered+fry_rank_203+grade2_week4_item13,beginner,28.8,8.0,6.0,beginner_seed,beginner_k_to_5.csv
addition,2,k-5th grade,beginner_k_to_5,822,,true,n,tier2_fry_filtered+fry_rank_822+grade2_week36_item1,beginner,27.0,9.0,8.1,beginner_seed,beginner_k_to_5.csv
additional,6,6-8,intermediate_6_to_8,1081,83,false,adj,tier1_ngsl_general+ngsl_rank_1081+grade_estimate_6,intermediate,4.181,30.075,10.078,intermediate_seed,intermediate_6_to_8.csv
address,4;6,6-8;k-5th grade,beginner_k_to_5;intermediate_6_to_8,558,173,false,n,elementary_fill+grade4+grade4_week30_item8 | tier1_ngsl_general+ngsl_rank_558+bridge_from_beginner_grade_4+grade_estimate_6,intermediate,20.357,20.81,7.584,beginner_seed;intermediate_seed,beginner_k_to_5.csv;intermediate_6_to_8.csv
adept,10,9-12,advanced_9_to_12,6010,279,false,adj,tier3_bnc_coca+bnc_coca_band_7k+grade_estimate_10+general_or_nonacademic,advanced,2.277,8.469,28.723,advanced_seed,advanced_9_to_12.csv
adequacy,10,9-12,advanced_9_to_12,5010,892,false,n,tier3_bnc_coca+bnc_coca_band_6k+grade_estimate_10+general_or_nonacademic,advanced,1.773,10.864,30.769,advanced_seed,advanced_9_to_12.csv
adequate,8,6-8,intermediate_6_to_8,2358,28,false,v,tier1_ngsl_general+ngsl_rank_2358+grade_estimate_8,intermediate,3.948,30.264,11.206,intermediate_seed,intermediate_6_to_8.csv
